"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kcnh8",0,1.18213125397658,0.544,0.009,0,"9","Kcnh8"
"Ppp2r2b",0,1.1817072446,0.509,0.034,0,"9","Ppp2r2b"
"Mir100hg1",0,1.17371692681069,0.707,0.142,0,"9","Mir100hg"
"Pmp221",0,1.15888651389284,0.738,0.181,0,"9","Pmp22"
"Nfia1",0,1.15733543863906,0.944,0.317,0,"9","Nfia"
"Pdzrn32",0,1.15646351277849,0.778,0.2,0,"9","Pdzrn3"
"Kif1b",0,1.15495444307568,0.865,0.307,0,"9","Kif1b"
"Car12",0,1.15412551582618,0.626,0.019,0,"9","Car12"
"Tafa5",0,1.14952849159769,0.671,0.014,0,"9","Tafa5"
"Wwtr1",0,1.14833775674367,0.812,0.149,0,"9","Wwtr1"
"Pdgfa1",0,1.14735069703631,0.684,0.14,0,"9","Pdgfa"
"Grb102",0,1.14733763218685,0.918,0.229,0,"9","Grb10"
"Nkain4",0,1.14411041401528,0.654,0.064,0,"9","Nkain4"
"Nfib2",0,1.14303385313163,0.942,0.28,0,"9","Nfib"
"Ptn2",0,1.12949133554849,0.883,0.156,0,"9","Ptn"
"Dock7",0,1.123093613954,0.858,0.29,0,"9","Dock7"
"Ckb1",0,1.1172337632224,0.89,0.271,0,"9","Ckb"
"Sostdc1",0,1.10369856010001,0.282,0.003,0,"9","Sostdc1"
"Plekhg1",0,1.10074218546357,0.722,0.169,0,"9","Plekhg1"
"Shc4",0,1.09077211250292,0.593,0.02,0,"9","Shc4"
"Sncaip",0,1.08819852040806,0.64,0.062,0,"9","Sncaip"
"Ppp1r9a",0,1.08655979113801,0.776,0.206,0,"9","Ppp1r9a"
"Tbx3os1",0,1.08529838982667,0.394,0.024,0,"9","Tbx3os1"
"Ttyh1",0,1.08313635210524,0.57,0.008,0,"9","Ttyh1"
"Hand2",0,1.08202845817098,0.609,0.042,0,"9","Hand2"
"Mboat2",0,1.07352937814245,0.69,0.075,0,"9","Mboat2"
"Dagla",0,1.07023559924932,0.62,0.024,0,"9","Dagla"
"Prkg12",0,1.06805077821207,0.819,0.166,0,"9","Prkg1"
"Crtac1",0,1.06772801532656,0.592,0.003,0,"9","Crtac1"
"Col20a1",0,1.05354188512785,0.439,0.015,0,"9","Col20a1"
"Agmo",0,1.05046504772202,0.49,0.05,0,"9","Agmo"
"Zfp462",0,1.04983488689308,0.728,0.159,0,"9","Zfp462"
"Cep112",0,1.03923797945563,0.663,0.119,0,"9","Cep112"
"Opcml",0,1.03680293172202,0.351,0.026,0,"9","Opcml"
"Creb5",0,1.03596590440784,0.644,0.143,0,"9","Creb5"
"Tmod2",0,1.02647288141337,0.614,0.043,0,"9","Tmod2"
"1700025G04Rik",0,1.02262451064313,0.797,0.228,0,"9","1700025G04Rik"
"Gap43",0,1.02212379694327,0.457,0.024,0,"9","Gap43"
"Nid11",0,1.02149078389232,0.714,0.178,0,"9","Nid1"
"Stox2",0,1.0208648829258,0.666,0.09,0,"9","Stox2"
"Igsf11",0,1.02069622967799,0.589,0.002,0,"9","Igsf11"
"Fbxo7",0,1.00398488111324,0.701,0.133,0,"9","Fbxo7"
"S100a16",0,1.0028020930893,0.674,0.115,0,"9","S100a16"
"Cilk1",0,1.00068507487826,0.749,0.153,0,"9","Cilk1"
"Dlg2",1.70708691237911e-306,1.38355721322805,0.413,0.062,3.26736435029361e-302,"9","Dlg2"
"Zeb24",3.95390509483044e-302,1.50070020616669,0.996,0.445,7.56777435150546e-298,"9","Zeb2"
"Marchf3",5.51885094334817e-301,1.10547747951909,0.648,0.156,1.05630807055684e-296,"9","Marchf3"
"Eda",1.36361842617661e-297,1.22260425822529,0.505,0.098,2.60996566770203e-293,"9","Eda"
"Tenm31",2.46372443543143e-289,1.35734023498244,0.705,0.186,4.71556856941576e-285,"9","Tenm3"
"Plekha5",9.9822062367525e-286,1.40407470465067,0.912,0.41,1.91059427371443e-281,"9","Plekha5"
"Vim2",5.25206989303331e-280,1.63792207924797,0.97,0.544,1.00524617752657e-275,"9","Vim"
"Xkr4",1.30522895842908e-270,1.06382803389433,0.435,0.077,2.49820822643326e-266,"9","Xkr4"
"Tubb5",1.73905808123002e-265,1.56133702265128,0.961,0.573,3.32855716747425e-261,"9","Tubb5"
"Anxa51",1.17646877543013e-246,1.16268167442298,0.843,0.346,2.25176123617327e-242,"9","Anxa5"
"Prdx2",1.26669000563261e-245,1.04960461471285,0.907,0.452,2.42444467078081e-241,"9","Prdx2"
"Nedd43",3.97088962133099e-244,1.13619526548853,0.996,0.546,7.60028273522752e-240,"9","Nedd4"
"App",6.27336705095805e-227,1.00215251499685,0.915,0.407,1.20072245355337e-222,"9","App"
"Chd6",3.22938827855329e-226,1.12538136372442,0.922,0.541,6.18104916515099e-222,"9","Chd6"
"Aopep",1.68311854522989e-221,1.01213426885855,0.829,0.354,3.22148889557e-217,"9","Aopep"
"Rora1",2.34518233932715e-219,1.02679118784047,0.835,0.299,4.48867899747217e-215,"9","Rora"
"Sptbn11",3.10335100733672e-216,1.04782437427937,0.962,0.652,5.93981382804247e-212,"9","Sptbn1"
"Kcnq5",3.49722763276096e-215,1.49986201239404,0.754,0.286,6.69369368910448e-211,"9","Kcnq5"
"Tcf4",2.73785115737135e-213,1.15889362710272,0.925,0.511,5.24024711520876e-209,"9","Tcf4"
"Tcf12",2.73451043478023e-209,1.17624279465351,0.966,0.735,5.23385297216936e-205,"9","Tcf12"
"Zswim61",1.38341083705642e-207,1.06651673615868,0.863,0.412,2.64784834212599e-203,"9","Zswim6"
"Itih52",2.88652356773436e-179,1.40096497490816,0.617,0.215,5.52480610864357e-175,"9","Itih5"
"Cst31",1.89731402076436e-168,1.00250917349703,0.915,0.58,3.63145903574299e-164,"9","Cst3"
"Nckap5",1.05521509671415e-155,1.08363814262834,0.49,0.151,2.01968169511088e-151,"9","Nckap5"
"Ank3",1.93065411096033e-152,1.11017030965483,0.483,0.146,3.69527196837807e-148,"9","Ank3"
"Tagln2",1.3801374091715e-114,1.22216955639857,0.766,0.506,2.64158300115426e-110,"9","Tagln2"
"Fgf13",4.95699644781177e-98,1.45649118161029,0.358,0.115,9.48769120111173e-94,"9","Fgf13"
"Etl41",2.56964232304669e-73,2.57591740780891,0.443,0.219,4.91829540631136e-69,"9","Etl4"
"Il7r1",0,3.35392910349533,0.984,0.121,0,"10","Il7r"
"Clnk",0,3.21190124503364,0.982,0.044,0,"10","Clnk"
"Id2",0,2.66604202653828,0.985,0.289,0,"10","Id2"
"St6galnac3",0,2.43574696351693,0.984,0.357,0,"10","St6galnac3"
"Tmem176b",0,2.43106718268197,0.961,0.243,0,"10","Tmem176b"
"Odc1",0,2.39801938157082,0.908,0.262,0,"10","Odc1"
"Klrb1b",0,2.35013412550504,0.96,0.023,0,"10","Klrb1b"
"Il23r",0,2.33879847373709,0.892,0.012,0,"10","Il23r"
"Mapk10",0,2.29309988327326,0.501,0.009,0,"10","Mapk10"
"Ttn",0,2.28566372264458,0.578,0.005,0,"10","Ttn"
"Nrgn",0,2.2653895563486,0.905,0.032,0,"10","Nrgn"
"Il18r1",0,2.23755916337536,0.935,0.051,0,"10","Il18r1"
"Tmem176a",0,2.23701117834384,0.939,0.148,0,"10","Tmem176a"
"Ncoa7",0,2.21073138977535,0.932,0.253,0,"10","Ncoa7"
"Il1r1",0,2.17472637297175,0.885,0.076,0,"10","Il1r1"
"Cd82",0,2.14932294836588,0.955,0.209,0,"10","Cd82"
"Tox1",0,2.05946842215593,0.977,0.312,0,"10","Tox"
"S100a41",0,2.03206825105823,0.895,0.088,0,"10","S100a4"
"Arg1",0,2.02540180113014,0.704,0.023,0,"10","Arg1"
"Rora2",0,2.0140678701153,0.979,0.299,0,"10","Rora"
"Cntn1",0,1.97896126559315,0.561,0.016,0,"10","Cntn1"
"Emb1",0,1.92453063740644,0.981,0.243,0,"10","Emb"
"Il22",0,1.90526234440295,0.254,0.002,0,"10","Il22"
"Ern1",0,1.89455710039187,0.764,0.162,0,"10","Ern1"
"Gm36723",0,1.88911780909339,0.603,0.043,0,"10","Gm36723"
"Ckb2",0,1.88648566521587,0.985,0.273,0,"10","Ckb"
"Zmat4",0,1.86858567754881,0.549,0.014,0,"10","Zmat4"
"Rasl11a1",0,1.86666817212062,0.729,0.056,0,"10","Rasl11a"
"Hmgn3",0,1.86096419551193,0.805,0.162,0,"10","Hmgn3"
"Asb2",0,1.85584398478987,0.885,0.076,0,"10","Asb2"
"Ltb1",0,1.83371826014044,0.943,0.334,0,"10","Ltb"
"Trgc1",0,1.81343906094886,0.651,0.052,0,"10","Trgc1"
"Tnfsf11",0,1.77989057875805,0.596,0.029,0,"10","Tnfsf11"
"Sdc4",0,1.76344355111478,0.922,0.353,0,"10","Sdc4"
"Plcb4",0,1.7632269989231,0.931,0.182,0,"10","Plcb4"
"Gpr183",0,1.71805443380652,0.953,0.268,0,"10","Gpr183"
"Plekhg11",0,1.69070713427102,0.858,0.169,0,"10","Plekhg1"
"Rorc",0,1.66563783629757,0.871,0.049,0,"10","Rorc"
"Cxcr6",0,1.64891204016407,0.816,0.041,0,"10","Cxcr6"
"Lmo4",0,1.587521709874,0.897,0.204,0,"10","Lmo4"
"Ahcyl2",0,1.58563239160119,0.874,0.292,0,"10","Ahcyl2"
"Tspo",0,1.58377435249826,0.974,0.37,0,"10","Tspo"
"Prr29",0,1.5508247790739,0.795,0.007,0,"10","Prr29"
"Sla",0,1.52744605458717,0.83,0.233,0,"10","Sla"
"Dscam",0,1.48413305795531,0.428,0.008,0,"10","Dscam"
"Tcf71",0,1.45847635455379,0.851,0.151,0,"10","Tcf7"
